Time (s),Thrust (N),Oxidizer Tank Pressure (kPa),Combustion Chamber Pressure (kPa),Injector Pressure Drop (kPa),Oxidizer Mass (kg),Fuel Mass (kg),Oxidizer Mass Flow Rate (kg/s),Fuel Mass Flow Rate (kg/s),Exhaust Mass Flow Rate (kg/s),Oxidizer to Fuel Ratio,Grain ID (cm),Regression Rate (mm/s)
0,0,5060.1283,101.325,0,10.438037,1.7333008,0,0,0,0,3.34,0
0.001,0,5060.1283,191.89764,-0.44075666,10.435141,1.7329061,2.8962839,0.39468162,0.078341347,7.3382792,3.3423882,0.011940981
0.002,107.03913,5059.6875,280.78607,-0.45847204,10.432271,1.7325135,2.8696348,0.39263111,0.14816122,7.3087301,3.3447623,0.011870456
0.003,266.97113,5059.2291,367.5552,-0.45533305,10.429428,1.7321229,2.8432318,0.39059153,0.21652406,7.2792973,3.3471224,0.011800411
0.004,422.62419,5058.7737,452.01186,-0.45122733,10.426611,1.7317343,2.8172163,0.3885738,0.2831348,7.2501448,3.3494686,0.011731175
0.005,573.84047,5058.3225,534.0677,-0.4471437,10.423819,1.7313477,2.7916579,0.38658353,0.34788204,7.2213574,3.3518012,0.011662912
0.006,720.54244,5057.8754,613.6919,-0.44313662,10.421053,1.7309631,2.7665963,0.3846241,0.41062079,7.1929874,3.3541203,0.011595722
0.007,862.71472,5057.4322,690.88895,-0.43921231,10.418311,1.7305804,2.7420548,0.38269764,0.47122774,7.1650684,3.3564263,0.011529666
0.008,1000.4268,5056.993,765.6804,-0.43537301,10.415593,1.7301996,2.7180462,0.38080552,0.52984286,7.1376227,3.3587192,0.011464779
0.009,1133.7444,5056.5576,838.1009,-0.43162,10.412898,1.7298207,2.694578,0.37894872,0.58649818,7.1106665,3.3609994,0.011401089
0.01,1262.7489,5056.126,908.19376,-0.42795386,10.410226,1.7294435,2.6716536,0.37712788,0.64123457,7.0842114,3.3632672,0.011338609
0.011,1387.5329,5055.6981,976.00814,-0.42437469,10.407577,1.7290682,2.6492734,0.37534341,0.69409844,7.0582654,3.3655226,0.011277349
0.012,1508.1956,5055.2737,1041.5971,-0.42088221,10.40495,1.7286946,2.6274355,0.37359556,0.74513953,7.032834,3.3677661,0.011217311
0.013,1624.8587,5054.8528,1105.0109,-0.41747588,10.402344,1.7283227,2.6061365,0.37188443,0.79459821,7.0079204,3.3699978,0.011158496
0.014,1737.573,5054.4353,1166.3012,-0.41415522,10.399758,1.7279525,2.5853732,0.37021015,0.84253588,6.9835286,3.372218,0.011100902
0.015,1846.4435,5054.0212,1225.5242,-0.41091961,10.397193,1.7275839,2.5651417,0.36857279,0.88886579,6.9596611,3.3744269,0.011044529
0.016,1951.5949,5053.6103,1282.7377,-0.40776812,10.394648,1.727217,2.545436,0.36697223,0.93360121,6.936318,3.3766248,0.010989369
0.017,2053.135,5053.2025,1337.9992,-0.40469964,10.392121,1.7268516,2.5262493,0.36540827,0.97679017,6.9134979,3.3788118,0.010935412
0.018,2151.1709,5052.7978,1391.3663,-0.401713,10.389614,1.7264877,2.507574,0.36388066,1.0184802,6.8911988,3.3809884,0.010882647
0.019,2245.8087,5052.3961,1442.8957,-0.39880692,10.387124,1.7261253,2.4894021,0.36238911,1.0587183,6.8694176,3.3831546,0.010831062
0.02,2337.1531,5051.9973,1492.6435,-0.39598009,10.384653,1.7257644,2.4717255,0.36093326,1.0975506,6.8481509,3.3853107,0.010780642
0.021,2425.307,5051.6013,1540.6647,-0.39323115,10.382198,1.7254048,2.4545354,0.35951276,1.1350221,6.8273944,3.387457,0.010731374
0.022,2510.3958,5051.2081,1587.011,-0.39055868,10.37976,1.7250467,2.4378231,0.35812718,1.1712704,6.8071436,3.3895936,0.010683242
0.023,2592.4947,5050.8175,1631.7348,-0.38796141,10.377339,1.7246899,2.4215807,0.35677618,1.2062606,6.7873944,3.3917209,0.010636232
0.024,2671.6956,5050.4295,1674.8883,-0.38543791,10.374933,1.7243345,2.405799,0.35545932,1.2400178,6.7681416,3.3938389,0.010590327
0.025,2748.093,5050.0441,1716.5222,-0.38298671,10.372543,1.7239803,2.3904689,0.35417611,1.2725823,6.7493792,3.395948,0.010545511
0.026,2821.7789,5049.6611,1756.686,-0.38060632,10.370167,1.7236274,2.3755811,0.35292607,1.3039938,6.7311011,3.3980484,0.010501764
0.027,2892.8435,5049.2805,1795.4283,-0.37829525,10.367806,1.7232757,2.3611261,0.35170867,1.3342906,6.7133008,3.4001402,0.010459071
0.028,2961.3741,5048.9022,1832.7959,-0.37605199,10.365459,1.7229251,2.3470946,0.3505234,1.3635103,6.6959713,3.4022237,0.01041741
0.029,3027.456,5048.5262,1868.8349,-0.37387503,10.363125,1.7225758,2.3334773,0.34936971,1.3916891,6.6791058,3.404299,0.010376764
0.03,3091.1719,5048.1523,1903.5897,-0.37176289,10.360805,1.7222275,2.3202645,0.34824705,1.4188624,6.6626968,3.4063665,0.010337114
0.031,3152.6024,5047.7805,1937.1037,-0.36971407,10.358498,1.7218804,2.3074471,0.34715487,1.4450644,6.6467371,3.4084262,0.010298441
0.032,3211.8254,5047.4108,1969.4189,-0.36772706,10.356203,1.7215343,2.2950157,0.34609259,1.4703283,6.6312189,3.4104783,0.010260724
0.033,3268.9168,5047.0431,2000.5763,-0.3658004,10.35392,1.7211892,2.282961,0.34505964,1.4946864,6.6161346,3.4125231,0.010223944
0.034,3323.9504,5046.6773,2030.6155,-0.3639326,10.351648,1.7208452,2.2712738,0.34405545,1.5181707,6.6014762,3.4145607,0.010188082
0.035,3377.0075,5046.3134,2059.5735,-0.36212221,10.349388,1.7205021,2.259945,0.34307942,1.540857,6.5872357,3.4165913,0.010153117
0.036,3428.1447,5045.9512,2087.4877,-0.36036787,10.347139,1.72016,2.2489661,0.34213103,1.562726,6.5734058,3.4186151,0.010119033
0.037,3477.4292,5045.5909,2114.3943,-0.35866815,10.344901,1.7198187,2.2383281,0.34120967,1.5838064,6.5599783,3.4206323,0.010085808
0.038,3524.9259,5045.2322,2140.3285,-0.35702162,10.342673,1.7194784,2.2280221,0.34031477,1.6041255,6.546945,3.422643,0.010053423
0.039,3570.6976,5044.8752,2165.3241,-0.35542689,10.340455,1.719139,2.2180394,0.33944572,1.6237101,6.5342976,3.4246474,0.01002186
0.04,3614.8051,5044.5197,2189.4141,-0.35388259,10.338247,1.7188004,2.2083714,0.33860195,1.6425858,6.5220279,3.4266456,0.009991097
0.041,3657.3073,5044.1659,2212.6303,-0.35238734,10.336048,1.7184626,2.1990096,0.33778287,1.6607775,6.5101275,3.4286378,0.0099611163
0.042,3698.2508,5043.8135,2235.0029,-0.35093982,10.333858,1.7181256,2.1899456,0.3369879,1.6783314,6.4985883,3.4306242,0.0099318984
0.043,3737.6276,5043.4625,2256.5572,-0.34953875,10.331676,1.7177894,2.1811714,0.33621647,1.695402,6.4874022,3.4326049,0.0099034248
0.044,3775.5567,5043.113,2277.3223,-0.34818309,10.329504,1.7174539,2.1726808,0.33546816,1.7118529,6.4765634,3.43458,0.0098756812
0.045,3812.0899,5042.7648,2297.3264,-0.34687158,10.327339,1.7171192,2.1644656,0.33474239,1.7277058,6.4660636,3.4365497,0.0098486488
0.046,3847.2775,5042.4179,2316.5965,-0.34560295,10.325183,1.7167851,2.156518,0.3340386,1.742982,6.4558945,3.4385142,0.0098223091
0.047,3881.168,5042.0723,2335.1589,-0.34437598,10.323034,1.7164518,2.1488302,0.33335622,1.7577016,6.4460481,3.4404735,0.0097966437
0.048,3913.8082,5041.728,2353.0391,-0.34318944,10.320893,1.7161191,2.1413948,0.33269469,1.7718845,6.4365162,3.4424278,0.0097716347
0.049,3945.2435,5041.3848,2370.2615,-0.34204215,10.318758,1.715787,2.1342042,0.33205346,1.7855496,6.4272908,3.4443773,0.0097472642
0.05,3975.5175,5041.0427,2386.8499,-0.34093294,10.316631,1.7154556,2.1272511,0.33143199,1.7987153,6.418364,3.446322,0.0097235147
0.051,4004.6723,5040.7018,2402.8271,-0.33986067,10.314511,1.7151248,2.1205286,0.33082973,1.8113995,6.409728,3.4482621,0.009700369
0.052,4032.7488,5040.3619,2418.2153,-0.33882423,10.312397,1.7147945,2.1140296,0.33024617,1.8236194,6.4013749,3.4501976,0.0096778101
0.053,4059.7863,5040.0231,2433.0358,-0.33782253,10.310289,1.7144649,2.1077472,0.32968078,1.8353916,6.3932972,3.4521288,0.0096558214
0.054,4085.8227,5039.6853,2447.3093,-0.3368545,10.308187,1.7141357,2.1016749,0.32913304,1.8467321,6.3854874,3.4540557,0.0096343866
0.055,4110.8946,5039.3484,2461.0555,-0.33591911,10.306091,1.7138071,2.0958061,0.32860247,1.8576564,6.3779379,3.4559784,0.0096134896
0.056,4135.0373,5039.0125,2474.2937,-0.33501533,10.304001,1.713479,2.0901346,0.32808856,1.8681795,6.3706416,3.457897,0.0095931148
0.057,4158.2849,5038.6775,2487.0424,-0.33414218,10.301917,1.7131514,2.0846541,0.32759083,1.8783159,6.3635912,3.4598116,0.0095732467
0.058,4180.6703,5038.3434,2499.3196,-0.33329869,10.299837,1.7128243,2.0793586,0.3271088,1.8880796,6.3567798,3.4617224,0.0095538703
0.059,4202.2251,5038.0101,2511.1423,-0.33248393,10.297763,1.7124977,2.0742422,0.32664201,1.8974839,6.3502003,3.4636294,0.0095349709
0.06,4222.9862,5037.6776,2522.5271,-0.33169696,10.295694,1.7121715,2.0692992,0.32619001,1.9065515,6.3438461,3.4655327,0.0095165341
0.061,4242.9766,5037.3459,2533.4899,-0.33093692,10.293629,1.7118457,2.0645242,0.32575236,1.9152854,6.3377106,3.4674324,0.0094985462
0.062,4262.2241,5037.0149,2544.0462,-0.33020294,10.291569,1.7115204,2.0599116,0.32532862,1.9236972,6.3317873,3.4693286,0.0094809933
0.063,4280.7563,5036.6847,2554.211,-0.32949418,10.289514,1.7111955,2.0554563,0.32491837,1.9317984,6.3260699,3.4712214,0.009463862
0.064,4298.5996,5036.3552,2563.9987,-0.3288098,10.287463,1.710871,2.0511531,0.32452119,1.9396005,6.3205521,3.4731108,0.0094471394
0.065,4315.7793,5036.0264,2573.4231,-0.32814901,10.285416,1.7105468,2.046997,0.32413668,1.9471143,6.3152278,3.474997,0.0094308125
0.066,4332.3201,5035.6983,2582.4976,-0.32751103,10.283373,1.7102231,2.0429831,0.32376444,1.9543505,6.3100911,3.47688,0.009414869
0.067,4348.2456,5035.3708,2591.2352,-0.3268951,10.281334,1.7098997,2.0391067,0.32340408,1.961319,6.305136,3.4787598,0.0093992969
0.068,4363.5786,5035.0439,2599.6482,-0.3263005,10.279298,1.7095766,2.0353633,0.32305522,1.9680297,6.3003571,3.4806366,0.0093840841
0.069,4378.341,5034.7176,2607.7486,-0.3257265,10.277266,1.7092539,2.0317483,0.32271751,1.9744921,6.2957487,3.4825105,0.0093692195
0.07,4392.554,5034.3919,2615.5481,-0.32517242,10.275238,1.7089315,2.0282575,0.32239057,1.9807152,6.2913053,3.4843814,0.0093546916
0.071,4406.2379,5034.0667,2623.0576,-0.32463759,10.273213,1.7086094,2.0248868,0.32207408,1.9867078,6.2870219,3.4862495,0.0093404898
0.072,4419.4123,5033.742,2630.2879,-0.32412134,10.271192,1.7082877,2.0216319,0.32176767,1.9924784,6.2828932,3.4881148,0.0093266035
0.073,4432.0963,5033.4179,2637.2494,-0.32362307,10.269173,1.7079662,2.0184891,0.32147104,1.9980351,6.2789142,3.4899774,0.0093130224
0.074,4444.3079,5033.0943,2643.952,-0.32314214,10.267158,1.707645,2.0154544,0.32118385,2.0033858,6.2750802,3.4918374,0.0092997366
0.075,4456.0647,5032.7712,2650.4053,-0.32267798,10.265145,1.7073241,2.0125242,0.32090579,2.008538,6.2713863,3.4936947,0.0092867365
0.076,4467.3835,5032.4485,2656.6184,-0.32223,10.263135,1.7070035,2.0096949,0.32063658,2.0134991,6.267828,3.4955495,0.0092740126
0.077,4478.2808,5032.1263,2662.6004,-0.32179765,10.261129,1.7066831,2.0069631,0.3203759,2.018276,6.2644009,3.4974019,0.0092615559
0.078,4488.772,5031.8045,2668.3597,-0.3213804,10.259124,1.706363,2.0043253,0.32012348,2.0228756,6.2611006,3.4992517,0.0092493576
0.079,4498.8722,5031.4831,2673.9045,-0.32097771,10.257122,1.7060431,2.0017784,0.31987904,2.0273043,6.2579228,3.5010992,0.0092374091
0.08,4508.5961,5031.1621,2679.243,-0.32058909,10.255123,1.7057235,1.9993191,0.31964232,2.0315685,6.2548636,3.5029443,0.0092257021
0.081,4517.9575,5030.8415,2684.3826,-0.32021405,10.253126,1.705404,1.9969445,0.31941305,2.0356743,6.2519189,3.5047872,0.0092142287
0.082,4526.97,5030.5213,2689.3308,-0.31985211,10.251131,1.7050848,1.9946515,0.31919098,2.0396274,6.2490849,3.5066278,0.009202981
0.083,4535.6464,5030.2014,2694.0946,-0.31950282,10.249139,1.7047659,1.9924374,0.31897586,2.0434335,6.2463579,3.5084662,0.0091919515
0.084,4543.9993,5029.8819,2698.6809,-0.31916574,10.247149,1.7044471,1.9902994,0.31876747,2.047098,6.2437343,3.5103024,0.0091811329
0.085,4552.0406,5029.5628,2703.0962,-0.31884044,10.245161,1.7041285,1.9882348,0.31856557,2.0506262,6.2412104,3.5121365,0.0091705183
0.086,4559.782,5029.2439,2707.3469,-0.3185265,10.243174,1.7038102,1.986241,0.31836994,2.0540229,6.238783,3.5139685,0.0091601006
0.087,4567.2345,5028.9254,2711.4391,-0.31822354,10.24119,1.703492,1.9843156,0.31818037,2.0572932,6.2364488,3.5157985,0.0091498734
0.088,4574.4088,5028.6072,2715.3787,-0.31793115,10.239208,1.703174,1.9824561,0.31799664,2.0604417,6.2342045,3.5176265,0.0091398302
0.089,4581.3154,5028.2893,2719.1712,-0.31764897,10.237227,1.7028562,1.9806602,0.31781856,2.0634728,6.2320471,3.5194525,0.0091299649
0.09,4587.9641,5027.9716,2722.8222,-0.31737664,10.235248,1.7025385,1.9789257,0.31764593,2.0663909,6.2299736,3.5212765,0.0091202714
0.091,4594.3644,5027.6542,2726.3368,-0.31711381,10.233271,1.702221,1.9772505,0.31747856,2.0692001,6.227981,3.5230987,0.0091107441
0.092,4600.5256,5027.3371,2729.7202,-0.31686014,10.231295,1.7019037,1.9756323,0.31731628,2.0719045,6.2260667,3.5249189,0.0091013772
0.093,4606.4565,5027.0203,2732.9771,-0.31661532,10.229321,1.7015866,1.9740692,0.31715889,2.0745079,6.2242277,3.5267374,0.0090921655
0.094,4612.1657,5026.7036,2736.1123,-0.31637902,10.227348,1.7012696,1.9725592,0.31700624,2.077014,6.2224617,3.528554,0.0090831036
0.095,4617.6613,5026.3873,2739.1302,-0.31615094,10.225377,1.7009527,1.9711005,0.31685816,2.0794265,6.2207659,3.5303688,0.0090741866
0.096,4622.9513,5026.0711,2742.0352,-0.31593079,10.223408,1.700636,1.9696911,0.31671449,2.0817487,6.219138,3.5321819,0.0090654096
0.097,4628.0432,5025.7552,2744.8314,-0.3157183,10.221439,1.7003194,1.9683295,0.31657508,2.0839841,6.2175756,3.5339933,0.0090567678
0.098,4632.9444,5025.4395,2747.5229,-0.31551318,10.219472,1.700003,1.9670138,0.31643977,2.0861357,6.2160763,3.5358029,0.0090482568
0.099,4637.662,5025.1239,2750.1135,-0.31531517,10.217507,1.6996867,1.9657424,0.31630843,2.0882067,6.2146381,3.5376109,0.0090398721
0.1,4642.2026,5024.8086,2752.607,-0.31512402,10.215542,1.6993705,1.9645137,0.31618091,2.0902001,6.2132586,3.5394172,0.0090316095
0.101,4646.5729,5024.4935,2755.0069,-0.31493949,10.213579,1.6990544,1.9633263,0.31605708,2.0921186,6.2119359,3.5412219,0.0090234649
0.102,4650.7791,5024.1786,2757.3166,-0.31476134,10.211617,1.6987385,1.9621786,0.31593681,2.0939651,6.2106679,3.543025,0.0090154344
0.103,4654.8273,5023.8638,2759.5396,-0.31458934,10.209655,1.6984227,1.9610692,0.31581997,2.0957422,6.2094528,3.5448265,0.0090075141
0.104,4658.7233,5023.5492,2761.6789,-0.31442327,10.207695,1.698107,1.9599968,0.31570645,2.0974524,6.2082886,3.5466264,0.0089997004
0.105,4662.4727,5023.2348,2763.7377,-0.31426292,10.205736,1.6977914,1.95896,0.31559613,2.0990982,6.2071736,3.5484248,0.0089919897
0.106,4666.0808,5022.9205,2765.7189,-0.31410808,10.203779,1.6974759,1.9579575,0.3154889,2.100682,6.206106,3.5502217,0.0089843786
0.107,4669.553,5022.6064,2767.6254,-0.31395856,10.201822,1.6971605,1.9569882,0.31538464,2.102206,6.2050841,3.5520171,0.0089768637
0.108,4672.8941,5022.2925,2769.4599,-0.31381417,10.199865,1.6968452,1.9560508,0.31528325,2.1036724,6.2041063,3.553811,0.008969442
0.109,4676.109,5021.9786,2771.2251,-0.31367473,10.19791,1.69653,1.9551442,0.31518463,2.1050834,6.203171,3.5556034,0.0089621103
0.11,4679.2024,5021.665,2772.9235,-0.31354005,10.195956,1.6962149,1.9542673,0.31508869,2.106441,6.2022768,3.5573944,0.0089548657
0.111,4682.1786,5021.3514,2774.5575,-0.31340996,10.194003,1.6958999,1.953419,0.31499532,2.107747,6.2014221,3.5591839,0.0089477052
0.112,4685.0421,5021.038,2776.1296,-0.31328431,10.19205,1.695585,1.9525982,0.31490445,2.1090035,6.2006055,3.560972,0.0089406262
0.113,4687.7968,5020.7247,2777.6419,-0.31316293,10.190098,1.6952702,1.9518041,0.31481597,2.1102122,6.1998258,3.5627588,0.0089336259
0.114,4690.4469,5020.4116,2779.0967,-0.31304567,10.188147,1.6949555,1.9510357,0.3147298,2.1113749,6.1990815,3.5645441,0.0089267018
0.115,4692.996,5020.0985,2780.496,-0.31293238,10.186197,1.6946409,1.950292,0.31464587,2.1124932,6.1983714,3.5663281,0.0089198515
0.116,4695.448,5019.7856,2781.842,-0.31282293,10.184247,1.6943263,1.9495721,0.3145641,2.1135688,6.1976943,3.5681107,0.0089130724
0.117,4697.8064,5019.4728,2783.1365,-0.31271716,10.182298,1.6940118,1.9488752,0.3144844,2.1146032,6.197049,3.569892,0.0089063624
0.118,4700.0745,5019.1601,2784.3814,-0.31261495,10.18035,1.6936974,1.9482005,0.31440671,2.115598,6.1964343,3.5716719,0.0088997192
0.119,4702.2558,5018.8474,2785.5785,-0.31251618,10.178403,1.6933831,1.9475472,0.31433095,2.1165545,6.1958492,3.5734505,0.0088931406
0.12,4704.3533,5018.5349,2786.7297,-0.31242072,10.176456,1.6930688,1.9469144,0.31425706,2.1174742,6.1952926,3.5752279,0.0088866246
0.121,4706.37,5018.2225,2787.8364,-0.31232845,10.17451,1.6927546,1.9463015,0.31418496,2.1183584,6.1947635,3.5770039,0.0088801692
0.122,4708.309,5017.9102,2788.9004,-0.31223926,10.172564,1.6924405,1.9457078,0.31411461,2.1192084,6.1942609,3.5787786,0.0088737725
0.123,4710.1731,5017.5979,2789.9233,-0.31215303,10.170619,1.6921265,1.9451326,0.31404592,2.1200255,6.1937839,3.5805521,0.0088674326
0.124,4711.965,5017.2858,2790.9064,-0.31206966,10.168674,1.6918125,1.9445751,0.31397886,2.1208107,6.1933314,3.5823244,0.0088611478
0.125,4713.6873,5016.9737,2791.8513,-0.31198906,10.16673,1.6914986,1.9440349,0.31391335,2.1215654,6.1929027,3.5840953,0.0088549162
0.126,4715.3425,5016.6617,2792.7594,-0.31191111,10.164787,1.6911847,1.9435111,0.31384935,2.1222906,6.1924969,3.5858651,0.0088487363
0.127,4716.9331,5016.3498,2793.6319,-0.31183573,10.162844,1.6908709,1.9430034,0.3137868,2.1229873,6.1921131,3.5876336,0.0088426065
0.128,4718.4614,5016.038,2794.4702,-0.31176282,10.160901,1.6905572,1.942511,0.31372565,2.1236567,6.1917506,3.5894009,0.0088365252
0.129,4719.9296,5015.7262,2795.2754,-0.3116923,10.158959,1.6902435,1.9420335,0.31366585,2.1242996,6.1914087,3.591167,0.0088304909
0.13,4721.34,5015.4145,2796.0489,-0.31162408,10.157017,1.6899299,1.9415703,0.31360736,2.1249171,6.1910864,3.5929319,0.0088245021
0.131,4722.6946,5015.1029,2796.7917,-0.31155807,10.155076,1.6896164,1.9411208,0.31355012,2.1255101,6.1907833,3.5946956,0.0088185576
0.132,4723.9955,5014.7913,2797.505,-0.31149421,10.153136,1.6893029,1.9406847,0.3134941,2.1260794,6.1904984,3.5964582,0.008812656
0.133,4725.2446,5014.4798,2798.1898,-0.31143241,10.151195,1.6889895,1.9402614,0.31343924,2.1266259,6.1902313,3.5982195,0.0088067959
0.134,4726.4437,5014.1684,2798.8471,-0.31137259,10.149256,1.6886761,1.9398505,0.31338552,2.1271504,6.1899813,3.5999797,0.0088009762
0.135,4727.5947,5013.857,2799.478,-0.3113147,10.147316,1.6883627,1.9394515,0.31333289,2.1276538,6.1897477,3.6017388,0.0087951956
0.136,4728.6992,5013.5457,2800.0833,-0.31125865,10.145377,1.6880495,1.9390641,0.31328131,2.1281367,6.18953,3.6034966,0.0087894531
0.137,4729.759,5013.2345,2800.6641,-0.31120439,10.143438,1.6877362,1.9386877,0.31323075,2.1286,6.1893275,3.6052534,0.0087837474
0.138,4730.7757,5012.9233,2801.2211,-0.31115185,10.1415,1.687423,1.938322,0.31318116,2.1290443,6.1891398,3.607009,0.0087780775
0.139,4731.7508,5012.6121,2801.7553,-0.31110097,10.139562,1.6871099,1.9379666,0.31313253,2.1294703,6.1889662,3.6087635,0.0087724425
0.14,4732.6858,5012.301,2802.2674,-0.31105169,10.137624,1.6867968,1.9376212,0.3130848,2.1298786,6.1888064,3.6105169,0.0087668412
0.141,4733.5821,5011.99,2802.7583,-0.31100395,10.135687,1.6864838,1.9372854,0.31303796,2.13027,6.1886597,3.6122691,0.0087612727
0.142,4734.4412,5011.679,2803.2287,-0.31095771,10.13375,1.6861708,1.9369588,0.31299197,2.1306449,6.1885257,3.6140203,0.0087557361
0.143,4735.2643,5011.368,2803.6794,-0.3109129,10.131814,1.6858578,1.9366412,0.31294679,2.1310041,6.188404,3.6157703,0.0087502306
0.144,4736.0528,5011.0571,2804.111,-0.31086947,10.129877,1.6855449,1.9363322,0.31290242,2.131348,6.1882941,3.6175193,0.0087447552
0.145,4736.8078,5010.7462,2804.5242,-0.31082739,10.127941,1.6852321,1.9360315,0.3128588,2.1316772,6.1881956,3.6192671,0.0087393091
0.146,4737.5307,5010.4354,2804.9197,-0.31078659,10.126005,1.6849193,1.9357388,0.31281593,2.1319922,6.1881081,3.6210139,0.0087338915
0.147,4738.2224,5010.1246,2805.2981,-0.31074703,10.12407,1.6846065,1.9354538,0.31277377,2.1322936,6.1880311,3.6227596,0.0087285017
0.148,4738.8842,5009.8139,2805.6601,-0.31070868,10.122135,1.6842938,1.9351762,0.31273229,2.1325818,6.1879643,3.6245042,0.0087231388
0.149,4739.5171,5009.5031,2806.0062,-0.31067148,10.1202,1.6839811,1.9349059,0.31269148,2.1328573,6.1879073,3.6262478,0.0087178023
0.15,4740.1222,5009.1925,2806.3369,-0.3106354,10.118265,1.6836684,1.9346425,0.31265132,2.1331205,6.1878598,3.6279903,0.0087124913
0.151,4740.7003,5008.8818,2806.6529,-0.31060039,10.116331,1.6833558,1.9343858,0.31261177,2.1333719,6.1878213,3.6297317,0.0087072053
0.152,4741.2525,5008.5712,2806.9546,-0.31056643,10.114397,1.6830432,1.9341355,0.31257282,2.1336119,6.1877917,3.6314721,0.0087019435
0.153,4741.7797,5008.2607,2807.2426,-0.31053347,10.112463,1.6827307,1.9338915,0.31253445,2.133841,6.1877705,3.6332115,0.0086967054
0.154,4742.2828,5007.9501,2807.5173,-0.31050147,10.110529,1.6824182,1.9336535,0.31249664,2.1340594,6.1877575,3.6349498,0.0086914904
0.155,4742.7627,5007.6396,2807.7792,-0.31047041,10.108596,1.6821057,1.9334212,0.31245937,2.1342675,6.1877524,3.636687,0.0086862978
0.156,4743.22,5007.3292,2808.0288,-0.31044025,10.106663,1.6817933,1.9331946,0.31242262,2.1344659,6.1877548,3.6384232,0.0086811271
0.157,4743.6558,5007.0187,2808.2665,-0.31041096,10.10473,1.6814809,1.9329733,0.31238637,2.1346547,6.1877645,3.6401584,0.0086759779
0.158,4744.0706,5006.7083,2808.4927,-0.31038251,10.102797,1.6811686,1.9327573,0.31235061,2.1348343,6.1877812,3.6418926,0.0086708495
0.159,4744.4653,5006.3979,2808.7078,-0.31035487,10.100864,1.6808563,1.9325462,0.31231532,2.135005,6.1878048,3.6436258,0.0086657414
0.16,4744.8406,5006.0876,2808.9123,-0.31032801,10.098932,1.680544,1.93234,0.31228048,2.1351673,6.1878348,3.6453579,0.0086606532
0.161,4745.1971,5005.7773,2809.1064,-0.3103019,10.097,1.6802317,1.9321385,0.31224608,2.1353212,6.1878711,3.647089,0.0086555844
0.162,4745.5355,5005.467,2809.2906,-0.31027652,10.095068,1.6799195,1.9319415,0.3122121,2.1354673,6.1879135,3.6488191,0.0086505346
0.163,4745.8565,5005.1567,2809.4652,-0.31025184,10.093136,1.6796074,1.9317488,0.31217854,2.1356056,6.1879617,3.6505482,0.0086455033
0.164,4746.1606,5004.8464,2809.6305,-0.31022784,10.091205,1.6792952,1.9315604,0.31214537,2.1357366,6.1880155,3.6522763,0.0086404901
0.165,4746.4485,5004.5362,2809.787,-0.31020449,10.089273,1.6789831,1.931376,0.31211258,2.1358604,6.1880747,3.6540034,0.0086354946
0.166,4746.7207,5004.226,2809.9347,-0.31018178,10.087342,1.678671,1.9311955,0.31208016,2.1359773,6.1881392,3.6557295,0.0086305164
0.167,4746.9778,5003.9158,2810.0742,-0.31015967,10.085411,1.678359,1.9310187,0.3120481,2.1360876,6.1882087,3.6574546,0.0086255551
0.168,4747.2202,5003.6056,2810.2057,-0.31013815,10.08348,1.678047,1.9308456,0.31201638,2.1361914,6.188283,3.6591787,0.0086206104
0.169,4747.4486,5003.2955,2810.3294,-0.3101172,10.081549,1.677735,1.9306761,0.311985,2.1362891,6.1883619,3.6609019,0.0086156819
0.17,4747.6634,5002.9854,2810.4456,-0.3100968,10.079619,1.677423,1.9305099,0.31195394,2.1363808,6.1884454,3.662624,0.0086107693
0.171,4747.865,5002.6753,2810.5546,-0.31007692,10.077689,1.6771111,1.930347,0.31192319,2.1364667,6.1885331,3.6643452,0.0086058722
0.172,4748.054,5002.3652,2810.6566,-0.31005756,10.075758,1.6767992,1.9301872,0.31189274,2.1365471,6.188625,3.6660654,0.0086009904
0.173,4748.2307,5002.0552,2810.752,-0.31003869,10.073828,1.6764873,1.9300305,0.31186259,2.1366221,6.1887209,3.6677846,0.0085961235
0.174,4748.3957,5001.7451,2810.8408,-0.3100203,10.071898,1.6761755,1.9298768,0.31183272,2.1366919,6.1888207,3.6695029,0.0085912711
0.175,4748.5492,5001.4351,2810.9234,-0.31000236,10.069969,1.6758637,1.9297259,0.31180312,2.1367567,6.1889242,3.6712202,0.0085864332
0.176,4748.6918,5001.1251,2810.9999,-0.30998487,10.068039,1.6755519,1.9295777,0.31177378,2.1368167,6.1890312,3.6729365,0.0085816093
0.177,4748.8238,5000.8151,2811.0707,-0.30996781,10.06611,1.6752402,1.9294322,0.31174471,2.1368721,6.1891417,3.6746519,0.0085767992
0.178,4748.9455,5000.5051,2811.1357,-0.30995116,10.06418,1.6749285,1.9292892,0.31171587,2.1369229,6.1892555,3.6763663,0.0085720026
0.179,4749.0573,5000.1952,2811.1954,-0.30993491,10.062251,1.6746168,1.9291487,0.31168728,2.1369694,6.1893725,3.6780797,0.0085672193
0.18,4749.1596,4999.8853,2811.2498,-0.30991905,10.060322,1.6743051,1.9290106,0.31165892,2.1370117,6.1894925,3.6797922,0.0085624491
0.181,4749.2526,4999.5753,2811.2991,-0.30990356,10.058393,1.6739935,1.9288747,0.31163078,2.13705,6.1896155,3.6815037,0.0085576916
